;Piazza Dante;Coperto e videosorvegliato, illuminato, non custodito, presenza di servizi igienici. Altezza max 2,50m;Piazza Dante;0861553947;Aperto 24 ore su 24;3€;15€;80€;4;Teramo;42.6585135;13.6286674
;Piazza Garibaldi;Videosorvegliato, illuminato, custodito e presenza di servizi igienici. Altezza max 2,10m;Piazza Garibaldi;0861413963;9:00 - 20:00;5€;20€;100€;3;Teramo;42.6623142;13.6311398
;Lorenzo Natali;Coperto, illuminato, non custodito, pagamento elettronico. Altezza max 2,10m;Viale Giacomo Caldora;0862413992;10:00 - 22:00;4€;24€;90€;3;L'Aquila;42.3450842;13.3319699
;Terminal Collemaggio;Coperto, ben illuminato, custodito e presenza di servizi igienici. Altezza max 3,30m;Via dello Zafferano;0862412926;Aperto 24 ore su 24;6€;26€;100€;2;L'Aquila;42.3446233;13.3314887
;International Parking;Coperto, illuminato, custodito con presenza di autorimessa e servizi igienici. Altezza max 2,10m;Via Luigi Galvani;026991754;Aperto 24 ore su 24;10€;40€;200€;5;Milano;45.4862769;9.1309155
;Sant'Ambrogio Parking;Coperto, illuminato, custodito con presenza di autorimessa e servizi igienici. Altezza max 2,10m;Piazza Sant'Ambrogio;022926281;Aperto 24 ore su 24;8€;30€;150€;4;Milano;45.4639736;9.1055833
;Parcheggio Saba Villa Borghese;Coperto, illuminato, non custodito, pagamento elettronico. Altezza max 2,10m;Viale del Galoppatoio;063212929;9:00 - 20:00;6€;25€;120€;5;Roma;41.9097491;12.4171876
;Parking Sant'Agata;Coperto, ben illuminato, custodito e presenza di servizi igienici. Altezza max 3,30m;Via di Sant'Agata;061781818;Aperto 24 ore su 24;3€;18€;90;4;Roma;41.8957771;12.4189762
;Euro Parking Srl;Coperto, illuminato, custodito con presenza di autorimessa e servizi igienici. Altezza max 2,10m;Via Napoli;068192929;10:00 - 22:00;4€;25€;100€;4;Roma;41.9004168;12.4248231
;Parcheggio Quick Morelli;Coperto, ben illuminato, custodito e presenza di servizi igienici. Altezza max 3,30m;Via Domenico Morelli;081195119;Aperto 24 ore su 24;6€;30€;120€;3;Napoli;40.8328538;14.1734276
;Napoli Parking;Videosorvegliato, illuminato, custodito e presenza di servizi igienici. Altezza max 2,10m;Piazza Giuseppe Di Vittorio;081195251;9:00 - 17:00;4€;15€;100€;4;Napoli;40.8800915;14.203032
;Parcheggio Foce Irno;Coperto, illuminato, custodito con presenza di autorimessa e servizi igienici. Altezza max 2,10m;Via Torrione;089292891;Aperto 24 ore su 24;3€;20€;70€;3;Salerno;40.6731516;14.7045578
;Parcheggio Trincerone;Videosorvegliato, illuminato, custodito e presenza di servizi igienici. Altezza max 2,10m;Via Ruggiero Moscato;089251919;9:00 - 18:00;5€;30€;110€;5;Salerno;40.6790267;14.6976266
;Parcheggio Ginnetto;Videosorvegliato, illuminato, custodito e presenza di servizi igienici. Altezza max 2,10m;Via Diomede;3380181953;Aperto 24 ore su 24;4€;20€;100€;3;Foggia;41.462391;15.478832
;Parcheggio di Foggia;Coperto, illuminato, custodito con presenza di autorimessa e servizi igienici. Altezza max 2,10m;Piazza Vittorio Veneto;800651517;9:00 - 18:00;3€;15€;80€;4;Foggia;41.4654691;15.4859157
;Parcheggio Saba Guadagni;Coperto, ben illuminato, custodito e presenza di servizi igienici. Altezza max 3,30m;Via Dieta di Bari;080582281;10:00 - 22:00;4€;30€;110€;3;Bari;41.1182757;16.8058701
;Taranto Parking;Coperto, illuminato, non custodito, pagamento elettronico. Altezza max 2,10m;Via Diego Peluso;3669228595;Aperto 24 ore su 24;3€;20€;60€;3;Taranto;40.4608917;17.1800218
;Parcheggio Central Parking;Coperto, illuminato, custodito con presenza di autorimessa e servizi igienici. Altezza max 2,10m;Via Martiri della Libertà;074451818;Aperto 24 ore su 24;4€;30€;120€;4;Terni;42.5630472;12.5827372
;Parcheggio Amiata;Videosorvegliato, illuminato, custodito e presenza di servizi igienici. Altezza max 2,10m;Viale Vittorio Fossombroni;3348418185;9:00 - 18:00;6€;30€;130€;3;Grosseto;42.5989593;11.3880164
;Parcheggio Beccaria;Videosorvegliato, illuminato, custodito e presenza di servizi igienici. Altezza max 2,10m;Piazza Cesare Beccaria;055058181;Aperto 24 ore su 24;4€;70€;160€;4;Firenze;43.7696372;11.2007125
;Garage Italia Firenze;Videosorvegliato, illuminato, custodito e presenza di servizi igienici. Altezza max 2,10m;Via Fiesolana;055181811;Aperto 24 ore su 24;6€;30€;100€;3;Firenze;43.7729977;11.1933029
;Stazione Bologna Centrale;Coperto, ben illuminato, custodito e presenza di servizi igienici. Altezza max 3,30m;Via Giacomo Matteotti;064448444;10:00 - 22:00;10€;50€;150€;4;Bologna;44.506307;11.2773123
;Garage San Petronio Vecchio Bologna;Coperto, ben illuminato, custodito e presenza di servizi igienici. Altezza max 3,30m;Via S. Petronio Vecchio;064299265;Aperto 24 ore su 24;7€;40€;120€;5;Bologna;44.4893435;11.2840031
;Garage San Marco Venezia;Coperto, illuminato, custodito con presenza di autorimessa e servizi igienici. Altezza max 2,10m;Piazzale Roma;041523595;Aperto 24 ore su 24;10€;60€;180€;4;Venezia;45.437673;12.2472039
;Venezia Tronchetto Parking;Coperto, ben illuminato, custodito e presenza di servizi igienici. Altezza max 3,30m;Isola Nova del Tronchetto;041520151;Aperto 24 ore su 24;7€;40€;130€;3;Venezia;45.4431217;12.2374591
;Parcheggio Vittorio Park;Videosorvegliato, illuminato, custodito e presenza di servizi igienici. Altezza max 2,10m;Piazza Vittorio Veneto;011515515;Aperto 24 ore su 24;4€;45€;120€;5;Torino;45.0646139;7.6259193
